,Gas_Price,Power_Price,BHKW_Bin,BHKW_Gas,BHKW_Power,BHKW_Heat
0,16,21,0.0,0.0,0.0,0.0
1,16,21,0.0,0.0,0.0,0.0
2,16,20,0.0,0.0,0.0,0.0
3,16,22,0.0,0.0,0.0,0.0
4,16,20,0.0,0.0,0.0,0.0
5,16,41,1.0,4.8,2.0,2.0
6,18,60,1.0,4.8,2.0,2.0
7,18,50,1.0,4.8,2.0,2.0
8,18,35,0.0,0.0,0.0,0.0
9,18,40,0.0,0.0,0.0,0.0
10,18,14,0.0,0.0,0.0,0.0
11,18,-12,0.0,0.0,0.0,0.0
12,18,10,0.0,0.0,0.0,0.0
13,18,25,0.0,0.0,0.0,0.0
14,18,25,0.0,0.0,0.0,0.0
15,18,30,0.0,0.0,0.0,0.0
16,18,40,0.0,0.0,0.0,0.0
17,18,50,1.0,4.8,2.0,2.0
18,18,61,1.0,4.8,2.0,2.0
19,18,50,1.0,4.8,2.0,2.0
20,18,30,0.0,0.0,0.0,0.0
21,18,20,0.0,0.0,0.0,0.0
22,18,10,0.0,0.0,0.0,0.0
23,18,15,0.0,0.0,0.0,0.0
